hotel_name,road_addr,hotel_id,region,market,결정 등급,객실수,호텔규모,업태구분명,속성정보,lat,lng
브라운도트 현풍점,대구 달성군 현풍읍 테크노공원로 35,10522,경상,국내,2성,60.0,100개 미만,관광호텔업,분류,35.6919898068224,128.456727207157
라온스테이 인 페를라,경남 진주시 영천강로 164,10524,경상,국내,미등급,미분류,200개 이상,미분류,미분류,35.1781039743749,128.139550713131
어반스테이 제주연동,제주특별자치도 제주시 연동6길 5,10525,제주,국내,미등급,67.0,100개 미만,숙박업(생활),분류,33.4855107957617,126.489446068654
벤티모 호텔 앤 레지던스 제주,제주특별자치도 제주시 연삼로 14,10526,제주,국내,미등급,99.0,100개 미만,숙박업(생활),분류,33.4934280931404,126.49374551804
제주 더나인스테이,제주특별자치도 제주시 연동6길 5,10527,제주,국내,미등급,68.0,100개 미만,숙박업(생활),분류,33.4855107957617,126.489446068654
그레이 193 호텔,부산 수영구 광안해변로278번길 42,10528,부산,국내,미등급,25.0,100개 미만,관광호텔,분류,35.1539651187086,129.124520479708
호텔 프리마베라 부산(in busan),부산 수영구 광안해변로278번길 42,10530,부산,국내,미등급,7.0,100개 미만,숙박업(생활),분류,35.1539704411162,129.124515022228
해운대 베이몬드 호텔,부산 해운대구 해운대해변로209번가길 27,10531,부산,국내,미등급,67.0,100개 미만,일반호텔,분류,35.1595623946993,129.156751325917
스타즈호텔 프리미어동탄,경기 화성시 동탄반석로 171,10532,경기,국내,미등급,미분류,200개 이상,미분류,미분류,37.2040852980932,127.070656672166
어반스테이 동탄,경기 화성시 반송동 94,10533,경기,국내,미등급,미분류,200개 이상,미분류,미분류,37.2040468,127.0706705
어반스테이 명동,서울 중구 충무로 24,10534,서울,국내,미등급,75.0,100개 미만,숙박업(생활),분류,37.5633577414568,126.993360096149
지젤 시그니티 서초,서울 서초구 효령로53길 50,10535,서울,국내,미등급,30.0,100개 미만,숙박업(생활),분류,37.4870648484546,127.013771375182
르컬렉티브 서울 서초,서울 서초구 효령로53길 50,10536,서울,국내,미등급,119.0,200개 미만,숙박업(생활),분류,37.4871222196646,127.013183194506
어반스테이 서면,부산 부산진구 중앙대로 752,10537,부산,국내,미등급,217.0,200개 이상,숙박업(생활),분류,35.1593126299398,129.060915659863
브라운도트 서면 1호점,부산 부산진구 서전로9번길 30,10538,부산,국내,미등급,41.0,100개 미만,여관업,분류,35.158965810549,129.061172898511
호텔 J7,부산 부산진구 부전로20번길 10,10539,부산,국내,미등급,23.0,100개 미만,여관업,분류,35.1523945860438,129.057035561294
서면 와이티티 호텔(YTT),부산 부산진구 중앙대로691번가길 27,10540,부산,국내,미등급,43.0,100개 미만,일반호텔,분류,35.1555581959267,129.055337860825
서면 레이나 호텔,부산 부산진구 부전로20번길 40-7,10541,부산,국내,미등급,43.0,100개 미만,여관업,분류,35.1538634596326,129.057111170588
르 컬렉티브 부산역,부산 동구 충장대로 160,10542,부산,국내,미등급,210.0,200개 이상,숙박업(생활),분류,35.1160845932256,129.045118279485
어반스테이 부산연산,부산 연제구 중앙대로 1116-8,10543,부산,국내,미등급,124.0,200개 미만,숙박업(생활),분류,35.1870199424989,129.082040931012
연산 하운드호텔,부산 연제구 월드컵대로153번길 9,10544,부산,국내,미등급,50.0,100개 미만,여관업,분류,35.1860990724752,129.07939200499
씨사이드 호텔 앤 리조트,전남 여수시 국포1로 47,10545,전라,국내,미등급,20.0,100개 미만,일반호텔,분류,34.7266555077612,127.721344072823
레니스 호텔 서면,부산 부산진구 중앙대로691번가길 24-9,10546,부산,국내,미등급,36.0,100개 미만,일반호텔,분류,35.1555294723077,129.056069128901
브라운도트 비지니스 서면롯데점,부산 부산진구 가야대로756번길 16,10547,부산,국내,미등급,62.0,100개 미만,일반호텔,분류,35.1566054617273,129.054019156682
르컬렉티브 오시리아,부산 기장군 기장읍 동부산관광7로 17,10548,부산,국내,미등급,113.0,200개 미만,숙박업(생활),분류,35.1891435758268,129.214355757524
쏘타컬렉션 더 오시리아,부산 기장군 기장읍 동부산관광7로 17,10549,부산,국내,미등급,64.0,100개 미만,숙박업(생활),분류,35.1887229592245,129.21349682066
어반스테이 부티크 521,부산 중구 구덕로 52-1,10550,부산,국내,미등급,78.0,100개 미만,숙박업(생활),분류,35.0984459826695,129.02999579252
마티에 오시리아,부산 기장군 기장읍 동부산관광7로 17,10551,부산,국내,미등급,200.0,200개 이상,숙박업(생활),분류,35.1891435758268,129.214355757524
지엔비 호텔,부산 중구 흑교로 19,10552,부산,국내,미등급,102.0,200개 미만,일반호텔,분류,35.1012442660592,129.024816331208
하운드호텔 송정,부산 해운대구 송정중앙로36번길 56,10553,부산,국내,미등급,53.0,100개 미만,숙박업(생활),분류,35.1812014396691,129.20141266363
와이컬렉션 by UH FLAT 오시리아,부산 기장군 기장읍 동부산관광7로 17,10554,부산,국내,미등급,30.0,100개 미만,숙박업(생활),분류,35.1887229592245,129.21349682066
코오롱 씨클라우드 (호텔),부산 해운대구 해운대해변로 287,10555,부산,국내,미등급,208.0,200개 이상,숙박업(생활),분류,35.1604439324117,129.162247021768
신라스테이 해운대 (호텔),부산 해운대구 해운대로570번길 46,10556,부산,국내,4성,407.0,200개 이상,관광호텔,분류,35.1598060250385,129.158725887915
라마다 앙코르 해운대 (호텔),부산 해운대구 구남로 9,10557,부산,국내,미등급,402.0,200개 이상,일반호텔,분류,35.1632935107918,129.159591491812
홍대 필로소퍼,서울 마포구 동교로 217,10558,서울,국내,미등급,미분류,200개 이상,미분류,미분류,37.5594957301384,126.923531647095
DW Stay Hongdae (디 더블유 스테이 홍대),서울 마포구 연남로1길 8-12,10559,서울,국내,미등급,미분류,200개 이상,미분류,미분류,37.561182513342,126.92205776482
